Order,Title,New_Title,Definition
439,Death by 1000 cuts,,
440,Can’t trust them as far as you can throw them,,
446,Play your cards close to the chest,,
448,Coming in hot,,
451,A real class act,,
455,Got it in the bag,,
456,Idle hands are the devils playground,,
457,Secure the bag,,
462,With one had tied behind my back,,
463,Knock your dick in the dirt,,
469,Two tacos short of a combination plate,,
470,A whole other ball game,,
473,Letting your true colors shine,,
474,If you fall of your horse you gotta get back on,,
475,If you want to make god laugh make a plan,,
479,Doesn’t pack a punch,,
482,The faster they rise the harder they fall,,
484,Wearing multiple hats,,
487,To worry is to make payments on a debt that may never come due,,
495,Never look into another bowl except to see if they have enough,,
499,A prison of our own device,,
501,If your going to get we you might as well go swimming,,
502,Don’t cry over spilt milk,,
504,The view from your ivory tower,,
510,Even the Mona Lisa is falling apart,,
511,Diamonds are made under pressure but not over night,,
512,"Men are from mars, women are from Venus",,
513,Reopen an old wound,,
514,Pour salt in the wound and expect it to heal,,
517,Pride is a cold bedfellow,,
518,Cut off the head and the body will die,,
519,The little dutch boy with his finger in the dike,,
521,Nothing left to do but bite the bullet,,
524,Slap my ass and call me Sally,,
525,The bigger the pants the deeper the pockets,,
526,Ask me your questions I’ll tell you my lies,,
531,Don’t pull the wool over my eyes,,
538,March to the best of your own drum,,
539,Cross your heart and hope to die,,
542,Let me sleep on it,,
543,Don’t sleep on it,,
551,Anyway you slice it,,
554,Not on my dime,,
561,Take under your wing,,
566,Dancing with the devil,,
573,We’re gonna need a bigger boat,,
577,Worth your weight in salt,,
582,Wrapped around their little finger,,
585,Leg up in life,,
588,Down to the nitty gritty,,
592,Fly in in the ointment,,
594,A hired gun,,
600,Trust you as far as i can throw you,,
601,You made your bed now you got to lay in it,,
606,Dust your shoulders off,,
607,Blowing steam,,
611,Leaving a trail of breadcrumbs,,
615,On the shoulders with of giants,,
618,Wash your hands of the whole affair,,
621,Curiosity killed the cat but satisfaction brought it back,,
624,A pictures worth a 1000 words,,
625,Doing the lord’s work,,
626,When small men cast long shadows the day is almost over,,
631,Don’t ask how the sausage is made,,
633,Kick into gear,,
640,A chain is only as strong as it’s weakest link,,
653,It’s better to burn out than fade away,,
658,A rising tide lifts al boats,,
659,Served on a silver platter,,
660,Fed from a silver spoon,,
661,The road paved in gold,,
664,Long walk off a short pier,,
667,Leave the table while you still have an appetite,,
682,Hill i’m willing to die on,,
684,Time to hang up your hat,,
689,Nothing to hang your hat on,,
692,Another notch on your belt,,
697,Getting something off your chest,,
698,Staying in your own lane,,
699,Put it past someone,,
700,Trusting you as far as you can throw them,,
701,Closed mouths don’t get fed,,
717,In the pit of your stomach,,
728,Don’t judge a fish by its ability to climb a tree,,
731,This town ain’t big enough for the two of us,,
732,Time for a gun fight,,
733,Pop you’re cherry,,
735,Rock your socks off,,
740,Rounding the bend,,
744,Make heads or tails of it,,
747,Sticking your foot in your mouth,,
750,Squeezing the lemon,,
751,Bleeding the lizard,,
754,Flicking the bean,,
757,Tasted grapes,,
760,Putting in leg work,,
771,True measure of a man,,
772,To live in someone’s shadow,,
773,To never measure up,,
778,This day in age,,
780,That tracks,,
782,In the the chute,,
785,To not give two shits,,
789,Taking the high road,,
791,A broken record,,
795,Addressing the elephant in the room,,
796,Opening up pandora’s box,,
799,Get a lay of the land,,
800,Get the juices flowing,,
805,Shedding your skin,,
806,Put some feelers out,,
809,Getting your ass handed to you,,
812,Taking the words out of someone’s mouth,,
813,To be blown away,,
817,Hell hath no fury like a woman’s scorn,,
824,Getting on your soap box,,
826,Had it up to here,,
827,Turn an burn,,
831,Having a ring to it,,
832,Dropping the kids off at the pool,,
834,Another face in the crowd,,
838,Water water all around and not a drop to drink,,
843,Shit end of the stick,,
846,Ride on someone’s coattails,,
847,Shit rolls down hill,,
854,Head over heals,,
867,Chips stacked against someone,,
868,Different animal,,
870,Lift the lid,,
882,Back to brunch,,
888,Come to grips,,
890,I’ll be a monkeys uncle,,
894,Bases are covered,,
898,Breaking the seal,,
899,Going all in,,
904,At a crossroad,,
911,Rein it in,,
913,Wrap your mind around it,,
923,End on a good note,,
924,Scratching my head,,
930,Shake a leg,,
931,Take something off your plate,,
937,Get a bee in your bonnet,,
940,Give someone lip,,
943,If you build it they will come,,
945,Going to the end of the earth,,
946,Blood on your hands,,
950,Go wherever the wind takes you,,
952,Being in someone’s corner,,
954,To be on fire,,
961,The powder trail is lit,,
963,Chip away at something,,
971,Take something and run with it,,
979,Thinning the herd,,
980,Send someone for a loop,,
982,On the same/different level,,
986,Wind down/wind up,,
1000,Sticking your neck out for someone,,
1003,To put your im finger on something,,
1012,When something goes pear shaped,,
1013,I’ll fall on that sword,,
1015,Get back in the saddle,,
1017,Bobs your uncle,,
1019,To yank someone’s chain,,
1021,Keep the train rolling,,
1023,Being on the ball,,
1026,Smuggling plums,,
1027,Get to the bottom of some thing,,
1028,Bottom of the totem pole,,
1030,Scratches that same itch,,
1031,Flying off the shelf,,
1037,Close a chapter,,
1050,To have someone’s back,,
1051,Picking something up,,
1052,Licking someone’s boots,,
1053,Kissing someone’s ass,,
1057,Piss on a page,,
1060,To put someone on the spot,,
1061,As the twig is bent so grows the tree,,
1065,spit on your grave,,
1066,dont piss into the wind,,
1069,thumb up your ass,,
1070,shit dont stink,,
1073,a wake up call,,
1075,dont go chasing waterfalls,,
