title_old,title_new,definition
Chip off the old block,A chip off the old block,Someone whose character or personality resembles that of their parent. 
Chip on your shoulder,A chip on (one's) shoulder,An attitude that leads one to become combative or easily angered. 
Reinvent the wheel,Reinvent the wheel,"To do something in a wholly and drastically new way, often unnecessarily. (Usually used in negative constructions.) "
Two peas in a pod,Two peas in a pod,"Two people who are very similar, typically in interests, dispositions, or beliefs. "
Monkey on your back,Monkey on (one's) back,1. 
Big fish in a small pond,A big fish in a small pond,"A situation in which one person has more power, influence, knowledge, or experience than others within a small group. It often implies that the person may not have as much clout in ""a bigger pond,"" i.e., a larger group or arena of some kind. "
When pigs fly,When pigs fly,At a point in time that will never come to pass. (Used to show skepticism or cynicism over some hypothetical situation or outcome.) 
When hell freezes over,When hell freezes over,Never; at no time. 
Out of the frying pan and into the fire,,
The pot calling the kettle black,The pot calling the kettle black,A situation in which a person accuses someone of or criticizes someone for something that they themselves are guilty of. 
Frog in boiling water,,
You gotta kiss a lot of frogs to find a prince,,
Bat out of hell,,
Going to hell in a hand basket,Go to hell in a handbasket,To be in an extremely and increasingly bad or ruinous condition; to be on the inevitable path to utter failure or ruin. 
Bite off more then you can chew,,
The bigger they are the harder they fall,"The bigger they are, the harder they fall"," Those who are exceptionally large, powerful, or influential will have more to lose when they fail, and their failure will be all the more dramatic or spectacular because of it. "
The hair of the dog that bit you,The hair of the dog (that bit you),An alcoholic drink consumed to remedy a hangover. The phrase comes from the notion that literally rubbing the hair of the dog that bit you on the wound would help it to heal. 
Wish in one hand and shit in the other,,
All who wander are not lost,,
All that glitters is not gold,All that glitters is not gold,Things that have an outward appeal are often not as beautiful or valuable as they seem. 
Diamond in the rough,Diamond in the rough,A person or thing with exceptional qualities or characteristics that cannot be seen from the surface. 
Leave no stone unturned,Leave no stone unturned,1. To look for something in every possible place. 
All holds barred,,
Throw the baby out with the bath water,Throw the baby out with the bath,"To discard something valuable or important while disposing of something considered worthless, especially an outdated idea or form of behavior. The phrase is often used in the negative as a warning against such thoughtless behavior. "
Everything but the kitchen sink,Everything but the kitchen sink,"Nearly everything one can reasonably imagine; many different things, often to the point of excess or redundancy. "
Slow and steady wins the race,Slow and steady wins the race," Persistent, consistent, and diligent progress, even if it is somewhat slow, will produce better results than rushing to get somewhere or achieve something, as the latter can result in mistakes or may prove unsustainable or unreliable. Derived from the classic Aesop fable of ""The Tortoise and the Hare,"" in which the titular tortoise is able to beat the hare in a race because the hare, overconfident in his superior speed, decides to take a nap along the way. "
Two sides to to the same coin,,
Play the hand you’re dealt,Play the hand (one) is dealt,"To accept, deal with, and make the most of one's current situation or circumstances; to make use of that which one is afforded or has available. "
When life gives you lemons make lemonade,"When life gives you lemons, make lemonade", Focus on the good in a bad situation and take action accordingly. 
Put a pin in it,Put a pin in it,"To take a break from discussing some topic, with plans to resume the discussion later. "
The cherry on top,Cherry on top,"The flourish that caps something off (much like a cherry tops off an ice cream sundae). Sometimes used in the phrase ""pretty please with a cherry on top."" "
Icing on the cake,The icing on the cake,An additional benefit or positive aspect to something that is already considered positive or beneficial. 
The squeaky wheel gets the grease,The squeaky wheel gets the grease, The person complaining or protesting the loudest or most frequently is the one who will receive the most attention from others. 
Raised nails get pounded,,
Softer than a baby’s bottom,,
Hell or high water,By hell or high water,"By any means necessary; regardless of any difficulty, problem, or obstacle. "
Stuck between a rock and a hard place,,
Airing out your dirty laundry.,,
Skeletons in your closet,Skeleton in the/(one's) closet,An embarrassing or shameful secret. Primarily heard in US. 
Skating on thin ice,Skating on thin ice,"Engaged in some activity or behavior that is very risky, dangerous, or likely to cause a lot of trouble. "
Flying too close to the sun,Fly too close to the sun,"To do something especially ambitious and daring that can or ultimately does lead to one's own undoing or downfall. An allusion to the mythical figure Icarus, whose wings made of feathers and wax melted when he flew too close to the sun. "
Toot your own horn,Toot (one's) own horn,"To boast or brag about one's own abilities, skills, success, achievements, etc. "
Pat yourself on the back,,
Catch more flies with honey than vinegar,You (can) catch more flies with honey than (with) vinegar," You are more likely to get the results you want from other people if you treat them with kindness or flattery, rather than being aggressive, demanding, or caustic. "
Kill them with kindness,Kill (one) with kindness,"To harm, inconvenience, or bother one by treating them with excessive favor or kindness. The phrase originated as the expression ""kill with kindness as fond apes do their young,"" referring to the notion that such animals sometimes crushed their offspring by hugging them too hard. "
Eye for an eye makes the whole world blind,An eye for an eye makes the whole world blind," No good will result from avenging injuries in a manner equal to the original offense. The expression, widely attributed to Mahatma Gandhi, refers to the Biblical saying ""an eye for an eye, a tooth for a tooth,"" which encourages vengeance that is equal to the original injury or offense. "
In the land of the blind the one eyed man is king,"In the land of the blind, the one-eyed man is king", Someone with few skills or abilities can impress and wield power over those who have even less to offer. 
That ship has sailed,That ship has sailed,Some possibility or option is no longer available or likely. 
Two ships passing the night,,
The pen is mightier than the sword,The pen is mightier than the sword," Strong, eloquent, or well-crafted speech or writing is more influential on a greater number of people than force or violence. "
Double edged sword,Double-edged sword,Something that can be both beneficial and problematic. 
I don’t have a dog in that fight,,
"Spare the rod, spoil the child",,
Like water off a ducks back,,
The juice isn’t worth the squeeze,,
Can’t get blood from a stone,You can't get blood from a stone," It is impossible to obtain something from someone if they are too parsimonious, uncharitable, or resolved against it. "
Don’t judge a book by its cover,Don't judge a book by its cover,Don't base your opinion of something (or someone) on the way it (or one) looks. 
You can’t step into the same river twice,,
Don’t whistle up the wind,,
Stick a fork in me,Stick a fork in (me/it/something),"A phrase used to indicate that one or something is finished, complete, or no longer able to continue. Alludes to the practice of testing how thoroughly a piece of meat is cooked by piercing it with a fork. "
This goose is cooked,,
You shake it more than twice you’re playing with it,,
Why buy the cow when the milk is free,,
Don’t rock the boat,Don't rock the boat,Don't say or do something that could upset a stable situation. 
"If the shoe fits, wear it","If the shoe fits(, wear it)","If something (typically negative) applies to one, one should acknowledge it or accept responsibility or blame for it. "
"If it walks like a duck, talks like duck, it’s probably a duck",,
Waiting for the other shoe to drop,Wait for the other shoe to drop,"To wait for the next, seemingly unavoidable (and typically negative) thing to happen. "
The grass is always greener on the other side of the fence,The grass is always greener (on the other side), Other people's circumstances or belongings always seem more desirable than one's own. 
Birds of a feather flock together,Birds of a feather flock together," People who have similar interests, ideas, or characteristics tend to seek out or associate with one another. "
A goose is as good as it’s gander,,
Early bird gets the worm,The early bird catches the worm, 
Let sleeping dogs lie,Let sleeping dogs lie,To leave a situation alone so as to avoid worsening it. 
A stitch in time saves nine,A stitch in time (saves nine)," A prompt, decisive action taken now will prevent problems later. "
Every dog has his day,Every dog has his/her/their day,Even the least fortunate person will have success at some point. 
Reap what you sow,Reap what (one) sows,To suffer the negative consequences of one's actions. 
Till the cows come home,,
Chickens come home to roost,(one's) chickens come home to roost,One's previous actions will eventually have consequences or cause problems for oneself. 
Missed the forest for the trees,,
"When in Rome, do as the Romans do",When in rome (do as the romans do)," One should do what is customary or typical in a particular place or setting, especially when one is a tourist. "
6 in one hand half dozen in the other,,
6 ways to Sunday,Six ways to sunday,Thoroughly or completely; in every possible way; from every conceivable angle. 
Burning bridges,Burn (one's) bridges,"1. Literally, to destroy a bridge or path behind oneself, so that others cannot follow. This usage is often related to military action. "
Baked in the cake,Baked in the cake,Informal; a situation in which the 
A wolf in sheep’s clothing,A wolf in sheep's clothing,A person or thing that appears harmless but is actually dangerous or bad. 
Does a bear shit in the woods,Does a bear shit in the woods?," A rhetorical question meaning the answer to the previous question is emphatically and obviously ""yes."" "
Raining cats and dogs,It's raining cats and dogs,It is raining extremely heavily. 
Oldest trick in the book,The oldest trick in the book,"A method of deception, or of addressing some issue, that is well known or has been used for a long time. "
I’m picking up what you’re putting down,,
Biting the hand that feeds you,Bite the hand that feeds (you),To scorn or poorly treat those on whom you depend or derive benefit. 
Put you’re money where your mouth is?,,
Get your ducks in a row,Get (one's) ducks in a row,"To take action to become well-organized, prepared, or up-to-date. "
As the crow flies,As the crow flies,The measurement of distance in a straight line. (From the notion that crows always fly in a straight line.) 
The lights are on by nobody is home,,
Not playing with a full deck,Not playing with a full deck,1. Not mentally sound; crazy or mentally deranged. 
Pay the pied piper,,
Got a screw loose,,
Walk a mile in someone’s shoes,Walk a mile in (someone's) shoes,"To spend time trying to consider or understand another person's perspectives, experiences, or motivations before making a judgment about them. "
This isn’t my first rodeo,Not (one's) first rodeo,"One is experienced with a certain situation, especially in relation to potential pitfalls or deceitful practices by others. "
Bury the hatchet,Bury the hatchet,1. To make peace with someone. 
Proof is in the pudding,The proof is in the pudding,The final results of something are the only way to judge its quality or veracity. 
Look what the cat dragged in,Look what the cat('s) dragged in,A mild and usually playful insult used to announce someone's arrival and suggest that the person has a messy or otherwise disheveled physical appearance. 
Spill the beans,Spill the beans,To reveal something that was meant to be a secret. 
At loose ends,At loose ends,"Uneasy, typically due to some problem or unresolved issue. "
Canary in a coal mine,Canary in a/the coal mine,"Something or someone who, due to sensitivity to his, her, or its surroundings, acts as an indicator and early warning of possible adverse conditions or danger. Refers to the former practice of taking caged canaries into coal mines. The birds would die if methane gas became present and thereby alert miners to the danger. "
Screwed the pooch,Screw the pooch," To make a very serious, grievous, or irreversible mistake; to ruin something or cause something to fail due to such an error. "
All hands on deck,All hands on deck,"1. A call for all members of a ship's crew to come to the deck, usually in a time of crisis. (A ""hand"" is a member of a ship's crew.) "
Crying wolf,Cry wolf,"To claim that something is happening when it really isn't, which results in the rejection of subsequent valid claims. The expression comes from one of Aesop's fables, in which a young shepherd lies about a wolf threatening his flock so many times that people do not believe him when he and his flock are legitimately in danger. "
Cross your t’s dot your i’s,,
Over the moon,Over the moon,Extremely happy. 
Shoot for the stars,Shoot for the stars,To set one's goals or ambitions very high; to try to attain or achieve something particularly difficult. 
Read between the lines,Read between the lines,"To infer or understand the real or hidden meaning behind the superficial appearance of something. ""Lines"" refers to lines of text on a printed page. "
Put that in you’re pipe and smoke it,,
Rode hard and put away wet,Ride hard and put (something) away wet,"1. Of a horse, to ride it until a lather of sweat has formed, then put it into the stable without drying it. A noun or pronoun can be used between ""ride"" and ""hard."" Primarily heard in US. "
Put the axe to the grindstone,,
A penny saved is a penny earned,A penny saved is a penny earned," Every small amount helps to build one's savings (i.e. by saving a penny, you have one more penny). "
Key to my heart,The key to (one's) heart,"That which will make one very happy or content; the way to make one appreciate, like, or love someone else. "
Not in the cards,,
You can’t have your cake and eat it too,"You can't have your cake and eat it(, too)"," You cannot have or do two things that are both desirable but normally contradictory or impossible to have or do simultaneously. Because ""have"" can also mean ""eat,"" this expression may seem redundant. However, it is based on the meaning of ""have"" as ""to possess,"" i.e., to maintain possession of one's cake while still eating it, an obvious impossibility. "
Kill two birds with one stone,Kill two birds with one stone,"To complete, achieve, or take care of two tasks at the same time or with a singular series of actions; to solve two problems with one action or solution. "
I don’t have a horse in that race,,
That’s the way the cookie crumbles,That's the way the cookie crumbles,"There is nothing we can do about the way things have unfolded, especially bad ones, so there is no reason to be upset about it. "
A straight arrow,Straight arrow,"An honest, ethical person who makes good decisions. "
On the straight and narrow,On the straight and narrow,Maintaining a morally upright way of life; only making choices that are considered morally and legally correct. 
Fall off the wagon,Fall off the wagon,1. To return to drinking alcohol after a period of abstinence. Usually said of recovering alcoholics. 
Knocking on death’s door,,
Pushing daisies,,
Every rose has its thorn,Every rose has its/a thorn," There is rarely a good or positive thing, event, or circumstance that is not accompanied by some aspect that is negative or unpleasant. "
Lightning never strikes the same place twice,Lightning never strikes (the same place) twice, Something that's very extraordinary and unlikely to happen will never happen to the same person twice. (Said especially of tragic or unfortunate events.) 
Dog eat dog world,A dog-eat-dog world,"A society, situation, industry, etc. characterized by ruthless behavior and competition. "
It’s a small world after all,,
Smoke em if you got em,,
On the tip of your tongue,On the tip of (one's) tongue,Almost able to be recalled. 
Pulled the short straw,,
Dear in headlights,,
Babe in the woods,Babe in the woods,"A person who is gullible, naïve, or lacks experience in a specific situation. "
Cold feet,Cold feet,Nervousness or anxiety felt before one attempts to do something. 
Caught red handed,Catch (one) red-handed,"To see, and perhaps apprehend, someone as they are doing something (often something nefarious). The phrase might have originally referred to blood on a murderer's hands. "
Going hard in the paint,,
On the fence,On the fence,Not making a decision or taking a side when presented with two options or possibilities; undecided. 
In the weeds,(deep) in the weeds,"1. Of a restaurant worker, completely overwhelmed with diners' orders and unable to keep up with the pace. "
Putting the cart before the horse,Put the cart before the horse,To do things out of the proper order. 
Paint the town red,Paint the town (red),"To go out into a city or town and have an enjoyable time, typically by visiting various establishments, such as bars, restaurants, clubs, etc. "
Pipe dream,Pipe dream,A dream or idea that is impossible to accomplish. 
Chasing the dragon,Chase the dragon," To smoke a controlled substance, often heroin. "
Don’t blow smoke up my ass,,
Monkey see monkey do,"Monkey see, monkey do",1. Children naturally tend to imitate or copy what they see adults or other children doing. 
Pull yourself up by your bootstraps,Pull (oneself) up by (one's) (own) bootstraps,"To improve one's life or circumstances through one's own efforts, rather than relying on others. "
Rat race,Rat race,"1. A fierce competition for success, wealth, or power. "
Written in stone,Written in stone,Permanently fixed or firmly established; incapable of being changed. Often used in the negative. 
Smooth sailing,Smooth sailing,"Progress or advancement that is free from difficulties, obstacles, or challenges. "
All down hill from here,,
Shooting blanks,Shoot blanks," Of a man, to have a low sperm count in his semen. "
Pushing rope,,
Blacker the berry sweeter the juice,,
Over my dead body,Over my dead body,"I will never allow it; under no circumstances will that be permitted to happen (i.e., something can only happen if I am not alive to prevent it). "
Raise the roof,Raise the roof,"To engage in loud, unrestrained, and boisterous behavior, especially at a party or while celebrating. "
It takes village to raise a child,,
Get on board,,
Below the belt,Below the belt,"Unfairly targeted at one's weakness or vulnerability. The phrase refers to boxing, in which hitting an opponent below the waist is prohibited. "
0 to 60,Go from zero to sixty,"1. To accelerate from a standstill to sixty miles per hour. Used to indicate how quickly a vehicle, especially an automobile, can accelerate. "
Turn on a dime,Turn on a dime,1. To turn very quickly and with great agility. 
Once bitten twice shy,"Once bitten, twice shy","Once one is hurt by someone or something, one will be extra cautious to avoid that person or thing. "
The road to hell is paved with good intentions,The road to hell is paved with good intentions, Good intentions do not matter if a person's actions lead to bad outcomes. 
Don’t shit where you eat,Don't shit where you eat," Do not engage in troublesome or dubious behavior at one's home, place of business, or any location where one frequents, for it invites undesired consequences. "
Don’t dip the pen in company ink,,
Pulling your leg,Pull (one's) leg,"To tease or joke with someone, often by trying to convince them of something untrue. "
Jerking your chain,Jerk (one's) chain,"To tease someone, often by trying to convince them of something untrue. "
The Blood of the covenant is thicker than the water of the womb,,
Stabbed in the back,Stabbed in the back,Having had one's confidence or trust betrayed. 
Glass half empty,Glass half empty,Of or characterized by a generally pessimistic worldview. (Typically hyphenated and used as a modifier before a noun.) 
Well runs dry,,
Strike gold,Strike gold,"1. Literally, to discover gold, as in a gold mine. "
Ruling with an iron fist,Rule with an iron fist,"To rule, govern, or control a group or population with complete, typically tyrannical authority over all aspects of life, work, etc. A noun or pronoun can be used between ""rule"" and ""with."" "
Now we’re cooking with gas,Now (one's) cooking (with gas),Now one is making progress or doing something right. 
Not on the same page,,
Stop and smell the roses,Stop and smell the roses,"To take time to enjoy the finer or more enjoyable aspects of life, especially when one has become overworked or overly stressed. "
Slippery slope,Slippery slope,"A situation in which some behavior or action will eventually lead to a worse form of the same behavior or action, or a disastrous outcome. "
Pick your battles,Pick (one's) battle(s),"To choose not to participate in minor, unimportant, or overly difficult arguments, contests, or confrontations, saving one's strength instead for those that will be of greater importance or where one has a greater chance of success. "
On my last leg,On (one's) last legs,Near physical collapse or death. 
Watch a pot it never boils,,
The tip of the iceberg,Just the tip of the iceberg,"Only a small, often unrepresentative portion of something much larger or more complex that cannot yet be seen or understood. "
Needle in a haystack,Needle in a haystack,Something that is very difficult to locate. 
Still waters run deep,Still waters run deep,"Quiet people have interesting, profound, or complex thoughts. "
An elephant never forgets,An elephant never forgets,One remembers everything. A play on the idea that elephants have great memories. 
Trojan horse,Trojan horse,1. Something that initially seems innocuous but is ultimately bad or malicious. A reference to the myth in which Ancient Greek soldiers hid inside a giant wooden horse in order to gain access to the city of Troy. 
Like a fish in water,,
Where there’s smoke there’s fire,"Where there's smoke, there's fire"," When there is some indication of a problem or wrongdoing, such a thing probably occurred or exists. "
Shot in the dark,A shot in the dark,1. A guess or estimate with very little or no assurance as to its accuracy. 
If you can’t beat ‘em join em,,
Low hanging fruit,Low-hanging fruit,1. That which is especially easy to obtain or achieve. Often implies something that is perhaps not as satisfying as that which takes more effort or skill to obtain or do. 
Let it slide,Let (something or someone) slide,To choose not to take any action to correct or improve a particular situation or someone's actions or behavior. 
Pass the buck,Pass the buck,"To shift or reassign the blame or responsibility (for something) to another person, group, or thing. "
X marks the spot,X marks the spot,This sign or mark (not necessarily an X) indicates the specific or exact location (of something). 
15 minutes of fame,15 minutes of fame,A brief period of celebrity or notoriety. The term was coined by artist Andy Warhol. 
Hit the spot,Hit the spot,"1. To satisfy something, such as hunger or a craving. "
Made in the shade,Made in the shade,"In a comfortable position in life, usually due to some manner of financial success or windfall. "
Run for your money,Run for (one's) money,1. A prolonged period of success. 
Chopped liver,Chopped liver," A trivial, unimportant, or unappealing person or thing. The phrase likely originated as a part of Jewish humor, referring to the serving of chopped liver as a common side dish (thus overlooked in favor of the main course), the taste of which many do not find appealing. "
Out to lunch,Out to (some meal),Away from one's normal location to eat a particular meal. 
Circling the drain,Circle the drain,"To be in a state of severe deterioration such that one is approaching inevitable ruin, failure, or death. Usually used in the continuous form. "
That’s the ticket,That's the ticket,That is exactly the thing that is or was needed or called for. 
Sloppy seconds,,
Back in the fold,,
Take someone under your wing,Take (someone) under (one's) wing,"To act as someone's guardian, protector, or mentor, especially someone who is vulnerable or in need of help, protection, or instruction. "
We’re not in kansas anymore,Be not in kansas anymore,To no longer be in a place that one knows or where one is comfortable; to be in a completely unfamiliar and/or discomfiting environment. A reference to 
Out of the woods,Out of the wood(s),"No longer in danger or dealing with a particular difficulty, though not entirely resolved. Usually used in the negative. "
Balls of steel,,
Eyes too big for your stomach,,
Doe eyed,,
Snug as a bug in a rug,Snug as a bug (in a rug),"Very warm and cozy, typically while wrapped in blankets. "
The cat that ate the canary,The cat that ate the canary,Someone who is smugly pleased or self-satisfied. 
Tongue twister,Tongue twister,A word or phrase that is hard to say clearly due to difficult alliteration or pronunciation. 
Roll of the dice,Roll of the dice,1. An especially risky action undertaken to achieve a favorable but unlikely outcome. 
He’s lost his marbles,,
Playing with fire,Play with fire,"To do something that risks causing one harm, damage, or misfortune; to do something dangerous. "
Dead of night,Dead of night,The middle of the night. 
Perfect storm,Perfect storm,"A chance or rare combination of individual elements, circumstances, or events that together form a disastrous, catastrophic, or extremely unpleasant problem or difficulty. "
Cut corners,Cut corners,"To skip certain steps in order to do something as easily or cheaply as possible, usually to the detriment of the finished product or end result. "
Tall drink of water,Tall drink of water,"A tall, typically slender person. "
The road less traveled,The road less traveled,"The less popular or common option. The phrase is typically associated with Robert Frost's 1916 poem ""The Road Not Taken."" "
A square peg in a round hole,A square peg in a round hole,"A person who does not fit in or is not comfortable with others or in a particular situation; someone who is unsuited to a certain task, position, situation, or group of people. "
Bouncing off the walls,Be bouncing off the walls,To be very active and energetic to the point of hyperactivity. 
Tie a pork chop around it neck to get the dog to play with it,,
Color me pink,,
Like lemmings to the sea,,
A scholar and a gentleman,A scholar and a gentleman," Someone (usually a male, due to the gender implication of ""gentleman"") who is admirable or of high esteem. Although used sincerely as a compliment, it is generally bombastic and lighthearted in nature. "
Gone with the wind,Gone with the wind,"A phrase used to describe something that has disappeared, passed, or vanished, permanently or completely. The phrase was popularized by Margaret Mitchell's 1936 novel of the same name. "
Old hat,Old hat,"Unoriginal, out of date, or old-fashioned. "
Doesn’t fit the mold,,
Left a bad taste in your mouth,Leave a bad taste in (one's) mouth,To give one a negative impression (based on something that has already happened). 
Cold shoulder,Cold shoulder,1. 
Tongue in cheek,(with) tongue in cheek,"Humorous or intended as a joke, though seeming or appearing to be serious. Hyphenated as ""tongue-in-cheek"" if used before a noun. "
When there’s a will there’s a way,,
No harm no foul,"No harm, no foul","If there was no bad outcome to an action, then there's no need to be angry or upset about it. "
Cut the chord,,
Hit the hay,Hit the hay,To get into bed and go to sleep. 
Live by the sword die by the sword,"Live by the sword, die by the sword",1. Those who live a violent lifestyle will usually die a violent death. 
Knocking boots,Knock boots (with one), To have sex (with one). 
Bumping uglies,Bump uglies, To have sex. 
Get your ears lowered,Get (one's) ears lowered,"To get a haircut, especially to a length that reveals one's ears. "
Dragging your feet,Drag (one's) feet,"1. Literally, to not completely pick up one's feet when walking, so that they drag with each step. "
With your tail between your legs,With (one's) tail between (one's) legs,"Displaying embarrassment or shame, especially after losing or having to admit that one was wrong. Likened to a dog literally putting its tail between its legs after being disciplined. "
Spic and span,Spick and span,Totally clean and/or organized. 
Roll in the hay,Roll in the hay,"A sexual encounter, often one considered casual. "
Run the gamut,Run the gamut,To cover or extend across a wide and varied range. 
If it was a snake it would of bit you,,
If looks could kill,If looks could kill,"An expression used when someone makes an angry or unpleasant face at someone, indicating that such an expression represents hostility. "
Staring daggers,,
No skin off my back,Be no skin off (one's) back,"To be no cause of concern or interest to one; to pose one no difficulty, threat, or risk. "
Carrot on a stick,Carrot on a stick,"A reward that is promised to someone as an incentive to complete some task. It is a variant of ""carrot and stick"" or ""carrot or stick,"" which refer to both reward and punishment being simultaneously offered/threatened as an incentive to complete a task. "
Comparison is the thief of joy,,
Robbing the cradle,Rob the cradle,To date someone who is much younger than oneself. 
Going the way of the buffalo,,
Shell of your former self,A shell of (someone's or something's) former self,"A person, group, place, etc., that has become dramatically less healthy, vivacious, or robust, often following some traumatic event or negative circumstances. "
The call is coming from inside the house,,
Coming out swinging,Come out swinging,To compete or defend someone or something passionately or aggressively. 
Rose colored glasses,Rose-colored glasses,"An unduly idealistic, optimistic, sentimental, or wistful perspective on or about something. Primarily heard in US. "
Fog of war,The fog of war,"Confusion, uncertainty, or skewed judgment caused by the violence and chaos of warfare, especially in relation to one's own capability compared to that of one's enemy. "
The whole 9 yards,,
Turning over in your grave,(someone) is/would be turning over in their grave,"The thing in question is offensive to the memory of someone; someone would be filled with shame, disgust, or disapproval if they were alive today. "
Shooting fish in a barrel,Like shooting fish in a barrel,"Of some task or activity, exceptionally easy to do or accomplish. "
Light a fire under your ass,,
An old flame,An/(one's) old flame,One's former lover. 
Up in smoke,Up in smoke,1. Destroyed by fire. 
Fighting fire with fire,Fight fire with fire,To retaliate with the same methods that one has had to endure. 
Firing in all cylinders,,
The lion’s share,The lion's share,The largest part or portion of something. 
Pedal to the metal,Pedal to the metal,1. Drive as fast as you can; push the accelerator down. 
Throw in the towel,Throw in the towel,To give up on some endeavor; to quit or abandon something; to admit defeat or failure. 
Waking up on the wrong side of the bed,Wake up on the wrong side of (the) bed,"To be in a particularly and persistently irritable, unhappy, or grouchy mood or state, especially when it is not in line with one's normal disposition. "
Wrong side of the tracks,The wrong side of the tracks,"A part of a town or city that is particularly impoverished (and usually dangerous or undesirable as a result). ""Tracks"" refers to railroad tracks, which are sometimes thought of as demarcating different economic areas of a town. "
