title_old,title_new,definition," day"," owner"
"If it walks like a duck, talks like duck, it’s probably a duck","if it looks like a duck and walks like a duck, it is a duck","If something has all the characteristics of a thing, it is probably that thing, regardless of what it is called or presented as. There are many variations of the expression, and it is often shortened to the first part of the phrase.","2023-07-13",
Waiting for the other shoe to drop,Waiting for the other shoe to drop,"To wait for the next, seemingly unavoidable (and typically negative) thing to happen. ","2023-07-13","Eve"
The grass is always greener on the other side of the fence,The grass is always greener (on the other side)," Other people's circumstances or belongings always seem more desirable than one's own. ","2023-07-13",
Birds of a feather flock together,Birds of a feather flock together," People who have similar interests, ideas, or characteristics tend to seek out or associate with one another. ","2023-07-13",
what's good for the goose is good for the gander,what's good for the goose is good for the gander,Used to say that one person or situation should be treated the same way that another person or situation is treated,"2023-07-13","Eve"
Early bird gets the worm,The early bird catches the worm,Someone who seizes some opportunity at the earliest point in time will have the best chance of reaping its benefits.,"2023-07-13",
Let sleeping dogs lie,Let sleeping dogs lie,"To leave a situation alone so as to avoid worsening it. ","2023-07-13","Eve"
A stitch in time saves nine,A stitch in time (saves nine),"A prompt, decisive action taken now will prevent problems later. ","2023-07-13","Eve"
Every dog has his day,Every dog has his/her/their day,"Even the least fortunate person will have success at some point. ","2023-07-13","Eve"
Reap what you sow,Reap what (one) sows,"To suffer the negative consequences of one's actions. ","2023-07-13",
Till the cows come home,Until the cows come home,"For a very long, indefinite amount of time; forever.","2023-07-13","Eve"
Chickens come home to roost,(one's) chickens come home to roost,"For a very long, indefinite amount of time; forever.","2023-07-13","Eve"
Missed the forest for the trees,can't see the forest for the trees,"Cannot see, understand, or focus on a situation in its entirety due to being preoccupied with minor details.","2023-07-14","Eve"
"When in Rome, do as the Romans do",When in rome (do as the romans do),"One should do what is customary or typical in a particular place or setting, especially when one is a tourist. ","2023-07-14","Miles"
6 in one hand half dozen in the other,"six in one, (and) half a dozen in the other","The difference between these two options is negligible, irrelevant, or unimportant; either option is fine or will work as well as the other.","2023-07-14","Eve"
6 ways to Sunday,6 wasy to Sunday,"Thoroughly or completely; in every possible way; from every conceivable angle. ","2023-07-14","Eve"
Burning bridges,Burn (one's) bridges," ","2023-07-14","Miles"
Baked in the cake,Baked in the cake,,"2023-07-14","Miles"
A wolf in sheep’s clothing,A wolf in sheep's clothing,"A person or thing that appears harmless but is actually dangerous or bad. ","2023-07-14","Miles"
Does a bear shit in the woods,,"A rhetorical question meaning the answer to the previous question is emphatically and obviously ""yes."" ","2023-07-14","Miles"
Raining cats and dogs,It's raining cats and dogs,"It is raining extremely heavily. ","2023-07-14","Eve"
Oldest trick in the book,The oldest trick in the book,"A method of deception, or of addressing some issue, that is well known or has been used for a long time. ","2023-07-14","Miles"
I’m picking up what you’re putting down,,,"2023-07-14","Miles"
Biting the hand that feeds you,Bite the hand that feeds (you),"To scorn or poorly treat those on whom you depend or derive benefit. ","2023-07-14","Miles"
Put you’re money where your mouth is?,,,"2023-07-14","Miles"
Get your ducks in a row,Get (one's) ducks in a row,"To take action to become well-organized, prepared, or up-to-date. ","2023-07-14","Miles"
As the crow flies,As the crow flies,"The measurement of distance in a straight line. (From the notion that crows always fly in a straight line.) ","2023-07-14","Miles"
The lights are on by nobody is home,,,"2023-07-14","Miles"
Not playing with a full deck,Not playing with a full deck,"Not mentally sound; crazy or mentally deranged. ","2023-07-14","Miles"
Pay the pied piper,,,"2023-07-14","Miles"
Got a screw loose,,,"2023-07-14","Miles"
Walk a mile in someone’s shoes,Walk a mile in (someone's) shoes,"To spend time trying to consider or understand another person's perspectives, experiences, or motivations before making a judgment about them. ","2023-07-14","Miles"
This isn’t my first rodeo,Not (one's) first rodeo,"One is experienced with a certain situation, especially in relation to potential pitfalls or deceitful practices by others. ","2023-07-14","Miles"
Bury the hatchet,Bury the hatchet,"To make peace with someone. ","2023-07-14","Miles"
Proof is in the pudding,The proof is in the pudding,"The final results of something are the only way to judge its quality or veracity. ","2023-07-14","Eve"
Look what the cat dragged in,Look what the cat('s) dragged in,"A mild and usually playful insult used to announce someone's arrival and suggest that the person has a messy or otherwise disheveled physical appearance. ","2023-07-14","Eve"
Spill the beans,Spill the beans,"To reveal something that was meant to be a secret. ","2023-07-14","Eve"
At loose ends,At loose ends,"Uneasy, typically due to some problem or unresolved issue. ","2023-07-14","Eve"
Canary in a coal mine,Canary in a/the coal mine,"Something or someone who, due to sensitivity to his, her, or its surroundings, acts as an indicator and early warning of possible adverse conditions or danger. Refers to the former practice of taking caged canaries into coal mines. The birds would die if methane gas became present and thereby alert miners to the danger. ","2023-07-14","Eve"
Screwed the pooch,Screw the pooch," To make a very serious, grievous, or irreversible mistake; to ruin something or cause something to fail due to such an error. ","2023-07-14","Eve"
All hands on deck,All hands on deck,"A call for all members of a ship's crew to come to the deck, usually in a time of crisis. (A ""hand"" is a member of a ship's crew.) ","2023-07-14","Miles"
Crying wolf,Cry wolf,"To claim that something is happening when it really isn't, which results in the rejection of subsequent valid claims. The expression comes from one of Aesop's fables, in which a young shepherd lies about a wolf threatening his flock so many times that people do not believe him when he and his flock are legitimately in danger. ","2023-07-14","Eve"
Cross your t’s dot your i’s,,,"2023-07-14",
Over the moon,Over the moon,"Extremely happy. ","2023-07-14","Eve"
Shoot for the stars,Shoot for the stars,"To set one's goals or ambitions very high; to try to attain or achieve something particularly difficult. ","2023-07-14","Eve"
Read between the lines,Read between the lines,"To infer or understand the real or hidden meaning behind the superficial appearance of something. ""Lines"" refers to lines of text on a printed page. ","2023-07-14","Eve"
Put that in you’re pipe and smoke it,,,"2023-07-14","Miles"
Rode hard and put away wet,Ride hard and put (something) away wet,"Of a horse, to ride it until a lather of sweat has formed, then put it into the stable without drying it. A noun or pronoun can be used between ""ride"" and ""hard."" Primarily heard in US. ","2023-07-14","Miles"
Put the axe to the grindstone,,,"2023-07-14","Miles"
A penny saved is a penny earned,A penny saved is a penny earned,"Every small amount helps to build one's savings (i.e. by saving a penny, you have one more penny). ","2023-07-14","Miles"
Key to my heart,The key to (one's) heart,"That which will make one very happy or content; the way to make one appreciate, like, or love someone else. ","2023-07-14","Eve"
Not in the cards,,,"2023-07-14",
You can’t have your cake and eat it too,"You can't have your cake and eat it(, too)","You cannot have or do two things that are both desirable but normally contradictory or impossible to have or do simultaneously. Because ""have"" can also mean ""eat,"" this expression may seem redundant. However, it is based on the meaning of ""have"" as ""to possess,"" i.e., to maintain possession of one's cake while still eating it, an obvious impossibility. ","2023-07-14",
Kill two birds with one stone,Kill two birds with one stone,"To complete, achieve, or take care of two tasks at the same time or with a singular series of actions; to solve two problems with one action or solution. ","2023-07-14","Eve"
I don’t have a horse in that race,,,"2023-07-14","Eve"
That’s the way the cookie crumbles,That's the way the cookie crumbles,"There is nothing we can do about the way things have unfolded, especially bad ones, so there is no reason to be upset about it. ","2023-07-14","Miles"
A straight arrow,Straight arrow,"An honest, ethical person who makes good decisions. ","2023-07-14",
On the straight and narrow,On the straight and narrow,"Maintaining a morally upright way of life; only making choices that are considered morally and legally correct. ","2023-07-14","Eve"
Fall off the wagon,Fall off the wagon,"To return to drinking alcohol after a period of abstinence. Usually said of recovering alcoholics. ","2023-07-14",
Knocking on death’s door,,,"2023-07-14",
Pushing daisies,,,"2023-07-14",
Every rose has its thorn,Every rose has its/a thorn,"There is rarely a good or positive thing, event, or circumstance that is not accompanied by some aspect that is negative or unpleasant. ","2023-07-14","Miles"
Lightning never strikes the same place twice,Lightning never strikes (the same place) twice,"Something that's very extraordinary and unlikely to happen will never happen to the same person twice. (Said especially of tragic or unfortunate events.) ","2023-07-14",
Dog eat dog world,A dog-eat-dog world,"A society, situation, industry, etc. characterized by ruthless behavior and competition. ","2023-07-14",
It’s a small world after all,,,"2023-07-14",
Smoke em if you got em,,,"2023-07-14",
On the tip of your tongue,On the tip of (one's) tongue,"Almost able to be recalled. ","2023-07-14",
Pulled the short straw,,,"2023-07-14",
Dear in headlights,,,"2023-07-14",
Babe in the woods,Babe in the woods,"A person who is gullible, naïve, or lacks experience in a specific situation. ","2023-07-14",
Cold feet,Cold feet,"Nervousness or anxiety felt before one attempts to do something. ","2023-07-14",
Caught red handed,Catch (one) red-handed,"To see, and perhaps apprehend, someone as they are doing something (often something nefarious). The phrase might have originally referred to blood on a murderer's hands. ","2023-07-14",
Going hard in the paint,,,"2023-07-14",
On the fence,On the fence,"Not making a decision or taking a side when presented with two options or possibilities; undecided. ","2023-07-14",
In the weeds,(deep) in the weeds,"Of a restaurant worker, completely overwhelmed with diners' orders and unable to keep up with the pace. ","2023-07-14",
Putting the cart before the horse,Put the cart before the horse,"To do things out of the proper order. ","2023-07-14",
Paint the town red,Paint the town (red),"To go out into a city or town and have an enjoyable time, typically by visiting various establishments, such as bars, restaurants, clubs, etc. ","2023-07-14",
Pipe dream,Pipe dream,"A dream or idea that is impossible to accomplish. ","2023-07-14",
Chasing the dragon,Chase the dragon," To smoke a controlled substance, often heroin. ","2023-07-14",
Don’t blow smoke up my ass,,,"2023-07-14",
Monkey see monkey do,"Monkey see, monkey do","Children naturally tend to imitate or copy what they see adults or other children doing. ","2023-07-14",
Pull yourself up by your bootstraps,Pull (oneself) up by (one's) (own) bootstraps,"To improve one's life or circumstances through one's own efforts, rather than relying on others. ","2023-07-14",
Rat race,Rat race,"A fierce competition for success, wealth, or power. ","2023-07-14",
Written in stone,Written in stone,"Permanently fixed or firmly established; incapable of being changed. Often used in the negative. ","2023-07-14",
Smooth sailing,Smooth sailing,"Progress or advancement that is free from difficulties, obstacles, or challenges. ","2023-07-14",
All down hill from here,,,"2023-07-14",
Shooting blanks,Shoot blanks,"Of a man, to have a low sperm count in his semen. ","2023-07-14",
Pushing rope,,,"2023-07-14",
Blacker the berry sweeter the juice,,,"2023-07-14",
Over my dead body,Over my dead body,"I will never allow it; under no circumstances will that be permitted to happen (i.e., something can only happen if I am not alive to prevent it). ","2023-07-14",
Raise the roof,Raise the roof,"To engage in loud, unrestrained, and boisterous behavior, especially at a party or while celebrating. ","2023-07-14",
It takes village to raise a child,,,"2023-07-14",
Get on board,,,"2023-07-14",
Below the belt,Below the belt,"Unfairly targeted at one's weakness or vulnerability. The phrase refers to boxing, in which hitting an opponent below the waist is prohibited. ","2023-07-14",
0 to 60,Go from zero to sixty,"To accelerate from a standstill to sixty miles per hour. Used to indicate how quickly a vehicle, especially an automobile, can accelerate. ","2023-07-14",
Turn on a dime,Turn on a dime,"To turn very quickly and with great agility. ","2023-07-14",
Once bitten twice shy,"Once bitten, twice shy","Once one is hurt by someone or something, one will be extra cautious to avoid that person or thing. ","2023-07-14",
The road to hell is paved with good intentions,The road to hell is paved with good intentions,"Good intentions do not matter if a person's actions lead to bad outcomes. ","2023-07-14",
Don’t shit where you eat,Don't shit where you eat,"Do not engage in troublesome or dubious behavior at one's home, place of business, or any location where one frequents, for it invites undesired consequences. ","2023-07-14",
Don’t dip the pen in company ink,,,"2023-07-14",
Pulling your leg,Pull (one's) leg,"To tease or joke with someone, often by trying to convince them of something untrue. ","2023-07-14",
Jerking your chain,Jerk (one's) chain,"To tease someone, often by trying to convince them of something untrue. ","2023-07-14",
The Blood of the covenant is thicker than the water of the womb,,,"2023-07-14","Eve"
Stabbed in the back,Stabbed in the back,"Having had one's confidence or trust betrayed. ","2023-07-14",
Glass half empty,Glass half empty,"Of or characterized by a generally pessimistic worldview. (Typically hyphenated and used as a modifier before a noun.) ","2023-07-14",
Well runs dry,,,"2023-07-14",
Strike gold,Strike gold,"Literally, to discover gold, as in a gold mine. ","2023-07-14",
Ruling with an iron fist,Rule with an iron fist,"To rule, govern, or control a group or population with complete, typically tyrannical authority over all aspects of life, work, etc. A noun or pronoun can be used between ""rule"" and ""with."" ","2023-07-14",
Now we’re cooking with gas,Now (one's) cooking (with gas),"Now one is making progress or doing something right. ","2023-07-14",
Not on the same page,,,"2023-07-14",
Stop and smell the roses,Stop and smell the roses,"To take time to enjoy the finer or more enjoyable aspects of life, especially when one has become overworked or overly stressed. ","2023-07-14",
Slippery slope,Slippery slope,"A situation in which some behavior or action will eventually lead to a worse form of the same behavior or action, or a disastrous outcome. ","2023-07-14",
Pick your battles,Pick (one's) battle(s),"To choose not to participate in minor, unimportant, or overly difficult arguments, contests, or confrontations, saving one's strength instead for those that will be of greater importance or where one has a greater chance of success. ","2023-07-14",
On my last leg,On (one's) last legs,"Near physical collapse or death. ","2023-07-14",
Watch a pot it never boils,,,"2023-07-14","Eve"
The tip of the iceberg,Just the tip of the iceberg,"Only a small, often unrepresentative portion of something much larger or more complex that cannot yet be seen or understood. ","2023-07-14","Miles"
Needle in a haystack,Needle in a haystack,"Something that is very difficult to locate. ","2023-07-14","Eve"
Still waters run deep,Still waters run deep,"Quiet people have interesting, profound, or complex thoughts. ","2023-07-14","Eve"
An elephant never forgets,An elephant never forgets,"One remembers everything. A play on the idea that elephants have great memories. ","2023-07-14","Eve"
