Order,Title,New_Title,Definition
91,Flying too close to the sun,Fly too close to the sun,"To do something especially ambitious and daring that can or ultimately does lead to one's own undoing or downfall. An allusion to the mythical figure Icarus, whose wings made of feathers and wax melted when he flew too close to the sun. "
92,Toot your own horn,Toot (one's) own horn,"To boast or brag about one's own abilities, skills, success, achievements, etc. "
93,Pat yourself on the back,,
94,Catch more flies with honey than vinegar,You (can) catch more flies with honey than (with) vinegar," You are more likely to get the results you want from other people if you treat them with kindness or flattery, rather than being aggressive, demanding, or caustic. "
95,Kill them with kindness,Kill (one) with kindness,"To harm, inconvenience, or bother one by treating them with excessive favor or kindness. The phrase originated as the expression ""kill with kindness as fond apes do their young,"" referring to the notion that such animals sometimes crushed their offspring by hugging them too hard. "
96,Eye for an eye makes the whole world blind,An eye for an eye makes the whole world blind," No good will result from avenging injuries in a manner equal to the original offense. The expression, widely attributed to Mahatma Gandhi, refers to the Biblical saying ""an eye for an eye, a tooth for a tooth,"" which encourages vengeance that is equal to the original injury or offense. "
97,In the land of the blind the one eyed man is king,"In the land of the blind, the one-eyed man is king", Someone with few skills or abilities can impress and wield power over those who have even less to offer. 
98,That ship has sailed,That ship has sailed,Some possibility or option is no longer available or likely. 
99,Two ships passing the night,,
100,The pen is mightier than the sword,The pen is mightier than the sword," Strong, eloquent, or well-crafted speech or writing is more influential on a greater number of people than force or violence. "
101,Double edged sword,Double-edged sword,Something that can be both beneficial and problematic. 
102,I don’t have a dog in that fight,,
103,"Spare the rod, spoil the child",,
104,Like water off a ducks back,,
105,The juice isn’t worth the squeeze,,
106,Can’t get blood from a stone,You can't get blood from a stone," It is impossible to obtain something from someone if they are too parsimonious, uncharitable, or resolved against it. "
107,Don’t judge a book by its cover,Don't judge a book by its cover,Don't base your opinion of something (or someone) on the way it (or one) looks. 
108,You can’t step into the same river twice,,
109,Don’t whistle up the wind,,
110,Stick a fork in me,Stick a fork in (me/it/something),"A phrase used to indicate that one or something is finished, complete, or no longer able to continue. Alludes to the practice of testing how thoroughly a piece of meat is cooked by piercing it with a fork. "
111,This goose is cooked,,
112,You shake it more than twice you’re playing with it,,
113,Why buy the cow when the milk is free,,
114,Don’t rock the boat,Don't rock the boat,Don't say or do something that could upset a stable situation. 
115,"If the shoe fits, wear it","If the shoe fits(, wear it)","If something (typically negative) applies to one, one should acknowledge it or accept responsibility or blame for it. "
116,"If it walks like a duck, talks like duck, it’s probably a duck",,
117,Waiting for the other shoe to drop,Wait for the other shoe to drop,"To wait for the next, seemingly unavoidable (and typically negative) thing to happen. "
118,The grass is always greener on the other side of the fence,The grass is always greener (on the other side), Other people's circumstances or belongings always seem more desirable than one's own. 
119,Birds of a feather flock together,Birds of a feather flock together," People who have similar interests, ideas, or characteristics tend to seek out or associate with one another. "
120,A goose is as good as it’s gander,,
121,Early bird gets the worm,The early bird catches the worm, 
122,Let sleeping dogs lie,Let sleeping dogs lie,To leave a situation alone so as to avoid worsening it. 
123,A stitch in time saves nine,A stitch in time (saves nine)," A prompt, decisive action taken now will prevent problems later. "
124,Every dog has his day,Every dog has his/her/their day,Even the least fortunate person will have success at some point. 
125,Reap what you sow,Reap what (one) sows,To suffer the negative consequences of one's actions. 
126,‘Till the cows come home,,
127,Chickens come home to roost,(one's) chickens come home to roost,One's previous actions will eventually have consequences or cause problems for oneself. 
128,Missed the forest for the trees,,
129,"When in Rome, do as the Romans do",When in rome (do as the romans do)," One should do what is customary or typical in a particular place or setting, especially when one is a tourist. "
130,6 in one hand half dozen in the other,,
131,6 ways to Sunday,Six ways to sunday,Thoroughly or completely; in every possible way; from every conceivable angle. 
132,Burning bridges,Burn (one's) bridges,"1. Literally, to destroy a bridge or path behind oneself, so that others cannot follow. This usage is often related to military action. "
133,Baked in the cake,Baked in the cake,Informal; a situation in which the 
134,A wolf in sheep’s clothing,A wolf in sheep's clothing,A person or thing that appears harmless but is actually dangerous or bad. 
135,Does a bear shit in the woods,Does a bear shit in the woods?," A rhetorical question meaning the answer to the previous question is emphatically and obviously ""yes."" "
136,Raining cats and dogs,It's raining cats and dogs,It is raining extremely heavily. 
137,Oldest trick in the book,The oldest trick in the book,"A method of deception, or of addressing some issue, that is well known or has been used for a long time. "
138,I’m picking up what you’re putting down,,
139,Biting the hand that feeds you,Bite the hand that feeds (you),To scorn or poorly treat those on whom you depend or derive benefit. 
140,Put you’re money where your mouth is?,,
141,Get your ducks in a row,Get (one's) ducks in a row,"To take action to become well-organized, prepared, or up-to-date. "
142,As the crow flies,As the crow flies,The measurement of distance in a straight line. (From the notion that crows always fly in a straight line.) 
143,The lights are on by nobody is home,,
144,Not playing with a full deck,Not playing with a full deck,1. Not mentally sound; crazy or mentally deranged. 
145,Pay the pied piper,,
146,Got a screw loose,,
147,Walk a mile in someone’s shoes,Walk a mile in (someone's) shoes,"To spend time trying to consider or understand another person's perspectives, experiences, or motivations before making a judgment about them. "
148,This isn’t my first rodeo,Not (one's) first rodeo,"One is experienced with a certain situation, especially in relation to potential pitfalls or deceitful practices by others. "
149,Bury the hatchet,Bury the hatchet,1. To make peace with someone. 
150,Proof is in the pudding,The proof is in the pudding,The final results of something are the only way to judge its quality or veracity. 
151,Look what the cat dragged in,Look what the cat('s) dragged in,A mild and usually playful insult used to announce someone's arrival and suggest that the person has a messy or otherwise disheveled physical appearance. 
152,Spill the beans,Spill the beans,To reveal something that was meant to be a secret. 
153,At loose ends,At loose ends,"Uneasy, typically due to some problem or unresolved issue. "
154,Canary in a coal mine,Canary in a/the coal mine,"Something or someone who, due to sensitivity to his, her, or its surroundings, acts as an indicator and early warning of possible adverse conditions or danger. Refers to the former practice of taking caged canaries into coal mines. The birds would die if methane gas became present and thereby alert miners to the danger. "
155,Screwed the pooch,Screw the pooch," To make a very serious, grievous, or irreversible mistake; to ruin something or cause something to fail due to such an error. "
156,All hands on deck,All hands on deck,"1. A call for all members of a ship's crew to come to the deck, usually in a time of crisis. (A ""hand"" is a member of a ship's crew.) "
157,Crying wolf,Cry wolf,"To claim that something is happening when it really isn't, which results in the rejection of subsequent valid claims. The expression comes from one of Aesop's fables, in which a young shepherd lies about a wolf threatening his flock so many times that people do not believe him when he and his flock are legitimately in danger. "
158,Cross your t’s dot your i’s,,
159,Over the moon,Over the moon,Extremely happy. 
160,Shoot for the stars,Shoot for the stars,To set one's goals or ambitions very high; to try to attain or achieve something particularly difficult. 
161,Read between the lines,Read between the lines,"To infer or understand the real or hidden meaning behind the superficial appearance of something. ""Lines"" refers to lines of text on a printed page. "
162,Put that in you’re pipe and smoke it,,
163,Rode hard and put away wet,Ride hard and put (something) away wet,"1. Of a horse, to ride it until a lather of sweat has formed, then put it into the stable without drying it. A noun or pronoun can be used between ""ride"" and ""hard."" Primarily heard in US. "
164,Put the axe to the grindstone,,
165,A penny saved is a penny earned,A penny saved is a penny earned," Every small amount helps to build one's savings (i.e. by saving a penny, you have one more penny). "
166,Key to my heart,The key to (one's) heart,"That which will make one very happy or content; the way to make one appreciate, like, or love someone else. "
167,Not in the cards,,
168,You can’t have your cake and eat it too,"You can't have your cake and eat it(, too)"," You cannot have or do two things that are both desirable but normally contradictory or impossible to have or do simultaneously. Because ""have"" can also mean ""eat,"" this expression may seem redundant. However, it is based on the meaning of ""have"" as ""to possess,"" i.e., to maintain possession of one's cake while still eating it, an obvious impossibility. "
169,Kill two birds with one stone,Kill two birds with one stone,"To complete, achieve, or take care of two tasks at the same time or with a singular series of actions; to solve two problems with one action or solution. "
170,I don’t have a horse in that race,,
171,That’s the way the cookie crumbles,That's the way the cookie crumbles,"There is nothing we can do about the way things have unfolded, especially bad ones, so there is no reason to be upset about it. "
172,A straight arrow,Straight arrow,"An honest, ethical person who makes good decisions. "
173,On the straight and narrow,On the straight and narrow,Maintaining a morally upright way of life; only making choices that are considered morally and legally correct. 
174,Fall off the wagon,Fall off the wagon,1. To return to drinking alcohol after a period of abstinence. Usually said of recovering alcoholics. 
175,Knocking on death’s door,,
176,Pushing daisies,,
177,Every rose has its thorn,Every rose has its/a thorn," There is rarely a good or positive thing, event, or circumstance that is not accompanied by some aspect that is negative or unpleasant. "
178,Lightning never strikes the same place twice,Lightning never strikes (the same place) twice, Something that's very extraordinary and unlikely to happen will never happen to the same person twice. (Said especially of tragic or unfortunate events.) 
179,Dog eat dog world,A dog-eat-dog world,"A society, situation, industry, etc. characterized by ruthless behavior and competition. "
180,It’s a small world after all,,
181,Smoke em if you got em,,
182,On the tip of your tongue,On the tip of (one's) tongue,Almost able to be recalled. 
183,Pulled the short straw,,
184,Dear in headlights,,
185,Babe in the woods,Babe in the woods,"A person who is gullible, naïve, or lacks experience in a specific situation. "
186,Cold feet,Cold feet,Nervousness or anxiety felt before one attempts to do something. 
187,Caught red handed,Catch (one) red-handed,"To see, and perhaps apprehend, someone as they are doing something (often something nefarious). The phrase might have originally referred to blood on a murderer's hands. "
188,Going hard in the paint,,
189,On the fence,On the fence,Not making a decision or taking a side when presented with two options or possibilities; undecided. 
190,In the weeds,(deep) in the weeds,"1. Of a restaurant worker, completely overwhelmed with diners' orders and unable to keep up with the pace. "
191,Putting the cart before the horse,Put the cart before the horse,To do things out of the proper order. 
192,Paint the town red,Paint the town (red),"To go out into a city or town and have an enjoyable time, typically by visiting various establishments, such as bars, restaurants, clubs, etc. "
193,Pipe dream,Pipe dream,A dream or idea that is impossible to accomplish. 
194,Chasing the dragon,Chase the dragon," To smoke a controlled substance, often heroin. "
195,Don’t blow smoke up my ass,,
196,Monkey see monkey do,"Monkey see, monkey do",1. Children naturally tend to imitate or copy what they see adults or other children doing. 
197,Pull yourself up by your bootstraps,Pull (oneself) up by (one's) (own) bootstraps,"To improve one's life or circumstances through one's own efforts, rather than relying on others. "
198,Rat race,Rat race,"1. A fierce competition for success, wealth, or power. "
199,Written in stone,Written in stone,Permanently fixed or firmly established; incapable of being changed. Often used in the negative. 
200,Smooth sailing,Smooth sailing,"Progress or advancement that is free from difficulties, obstacles, or challenges. "
201,All down hill from here,,
202,Shooting blanks,Shoot blanks," Of a man, to have a low sperm count in his semen. "
203,Pushing rope,,
204,Blacker the berry sweeter the juice,,
205,Over my dead body,Over my dead body,"I will never allow it; under no circumstances will that be permitted to happen (i.e., something can only happen if I am not alive to prevent it). "
206,Raise the roof,Raise the roof,"To engage in loud, unrestrained, and boisterous behavior, especially at a party or while celebrating. "
207,It takes village to raise a child,,
208,Get on board,,
209,Below the belt,Below the belt,"Unfairly targeted at one's weakness or vulnerability. The phrase refers to boxing, in which hitting an opponent below the waist is prohibited. "
210,0 to 60,Go from zero to sixty,"1. To accelerate from a standstill to sixty miles per hour. Used to indicate how quickly a vehicle, especially an automobile, can accelerate. "
211,Turn on a dime,Turn on a dime,1. To turn very quickly and with great agility. 
212,Once bitten twice shy,"Once bitten, twice shy","Once one is hurt by someone or something, one will be extra cautious to avoid that person or thing. "
213,The road to hell is paved with good intentions,The road to hell is paved with good intentions, Good intentions do not matter if a person's actions lead to bad outcomes. 
214,Don’t shit where you eat,Don't shit where you eat," Do not engage in troublesome or dubious behavior at one's home, place of business, or any location where one frequents, for it invites undesired consequences. "
215,Don’t dip the pen in company ink,,
216,Pulling your leg,Pull (one's) leg,"To tease or joke with someone, often by trying to convince them of something untrue. "
217,Jerking your chain,Jerk (one's) chain,"To tease someone, often by trying to convince them of something untrue. "
218,The Blood of the covenant is thicker than the water of the womb,,
219,Stabbed in the back,Stabbed in the back,Having had one's confidence or trust betrayed. 
220,Glass half empty,Glass half empty,Of or characterized by a generally pessimistic worldview. (Typically hyphenated and used as a modifier before a noun.) 
221,Well runs dry,,
222,Strike gold,Strike gold,"1. Literally, to discover gold, as in a gold mine. "
223,Ruling with an iron fist,Rule with an iron fist,"To rule, govern, or control a group or population with complete, typically tyrannical authority over all aspects of life, work, etc. A noun or pronoun can be used between ""rule"" and ""with."" "
224,Now we’re cooking with gas,Now (one's) cooking (with gas),Now one is making progress or doing something right. 
225,Not on the same page,,
226,Stop and smell the roses,Stop and smell the roses,"To take time to enjoy the finer or more enjoyable aspects of life, especially when one has become overworked or overly stressed. "
227,Slippery slope,Slippery slope,"A situation in which some behavior or action will eventually lead to a worse form of the same behavior or action, or a disastrous outcome. "
228,Pick your battles,Pick (one's) battle(s),"To choose not to participate in minor, unimportant, or overly difficult arguments, contests, or confrontations, saving one's strength instead for those that will be of greater importance or where one has a greater chance of success. "
229,On my last leg,On (one's) last legs,Near physical collapse or death. 
230,Watch a pot it never boils,,
231,The tip of the iceberg,Just the tip of the iceberg,"Only a small, often unrepresentative portion of something much larger or more complex that cannot yet be seen or understood. "
232,Needle in a haystack,Needle in a haystack,Something that is very difficult to locate. 
233,Still waters run deep,Still waters run deep,"Quiet people have interesting, profound, or complex thoughts. "
234,An elephant never forgets,An elephant never forgets,One remembers everything. A play on the idea that elephants have great memories. 
235,Trojan horse,Trojan horse,1. Something that initially seems innocuous but is ultimately bad or malicious. A reference to the myth in which Ancient Greek soldiers hid inside a giant wooden horse in order to gain access to the city of Troy. 
236,Like a fish in water,,
237,Where there’s smoke there’s fire,"Where there's smoke, there's fire"," When there is some indication of a problem or wrongdoing, such a thing probably occurred or exists. "
238,Shot in the dark,A shot in the dark,1. A guess or estimate with very little or no assurance as to its accuracy. 
239,If you can’t beat ‘em join em,,
240,Low hanging fruit,Low-hanging fruit,1. That which is especially easy to obtain or achieve. Often implies something that is perhaps not as satisfying as that which takes more effort or skill to obtain or do. 
241,Let it slide,Let (something or someone) slide,To choose not to take any action to correct or improve a particular situation or someone's actions or behavior. 
242,Pass the buck,Pass the buck,"To shift or reassign the blame or responsibility (for something) to another person, group, or thing. "
243,X marks the spot,X marks the spot,This sign or mark (not necessarily an X) indicates the specific or exact location (of something). 
244,15 minutes of fame,15 minutes of fame,A brief period of celebrity or notoriety. The term was coined by artist Andy Warhol. 
245,Hit the spot,Hit the spot,"1. To satisfy something, such as hunger or a craving. "
246,Made in the shade,Made in the shade,"In a comfortable position in life, usually due to some manner of financial success or windfall. "
247,Run for your money,Run for (one's) money,1. A prolonged period of success. 
248,Chopped liver,Chopped liver," A trivial, unimportant, or unappealing person or thing. The phrase likely originated as a part of Jewish humor, referring to the serving of chopped liver as a common side dish (thus overlooked in favor of the main course), the taste of which many do not find appealing. "
249,Out to lunch,Out to (some meal),Away from one's normal location to eat a particular meal. 
250,Circling the drain,Circle the drain,"To be in a state of severe deterioration such that one is approaching inevitable ruin, failure, or death. Usually used in the continuous form. "
251,That’s the ticket,That's the ticket,That is exactly the thing that is or was needed or called for. 
252,Sloppy seconds,,
253,Back in the fold,,
254,Take someone under your wing,Take (someone) under (one's) wing,"To act as someone's guardian, protector, or mentor, especially someone who is vulnerable or in need of help, protection, or instruction. "
255,We’re not in kansas anymore,Be not in kansas anymore,To no longer be in a place that one knows or where one is comfortable; to be in a completely unfamiliar and/or discomfiting environment. A reference to 
256,Out of the woods,Out of the wood(s),"No longer in danger or dealing with a particular difficulty, though not entirely resolved. Usually used in the negative. "
257,Balls of steel,,
258,Eyes too big for your stomach,,
259,Doe eyed,,
260,Snug as a bug in a rug,Snug as a bug (in a rug),"Very warm and cozy, typically while wrapped in blankets. "
261,The cat that ate the canary,The cat that ate the canary,Someone who is smugly pleased or self-satisfied. 
262,Tongue twister,Tongue twister,A word or phrase that is hard to say clearly due to difficult alliteration or pronunciation. 
263,Roll of the dice,Roll of the dice,1. An especially risky action undertaken to achieve a favorable but unlikely outcome. 
264,He’s lost his marbles,,
265,Playing with fire,Play with fire,"To do something that risks causing one harm, damage, or misfortune; to do something dangerous. "
266,Dead of night,Dead of night,The middle of the night. 
267,Perfect storm,Perfect storm,"A chance or rare combination of individual elements, circumstances, or events that together form a disastrous, catastrophic, or extremely unpleasant problem or difficulty. "
268,Cut corners,Cut corners,"To skip certain steps in order to do something as easily or cheaply as possible, usually to the detriment of the finished product or end result. "
269,Tall drink of water,Tall drink of water,"A tall, typically slender person. "
270,The road less traveled,The road less traveled,"The less popular or common option. The phrase is typically associated with Robert Frost's 1916 poem ""The Road Not Taken."" "
271,A square peg in a round hole,A square peg in a round hole,"A person who does not fit in or is not comfortable with others or in a particular situation; someone who is unsuited to a certain task, position, situation, or group of people. "
272,Bouncing off the walls,Be bouncing off the walls,To be very active and energetic to the point of hyperactivity. 
273,Tie a pork chop around it neck to get the dog to play with it,,
274,Color me pink,,
275,Like lemmings to the sea,,
276,A scholar and a gentleman,A scholar and a gentleman," Someone (usually a male, due to the gender implication of ""gentleman"") who is admirable or of high esteem. Although used sincerely as a compliment, it is generally bombastic and lighthearted in nature. "
277,Gone with the wind,Gone with the wind,"A phrase used to describe something that has disappeared, passed, or vanished, permanently or completely. The phrase was popularized by Margaret Mitchell's 1936 novel of the same name. "
278,Old hat,Old hat,"Unoriginal, out of date, or old-fashioned. "
279,Doesn’t fit the mold,,
280,Left a bad taste in your mouth,Leave a bad taste in (one's) mouth,To give one a negative impression (based on something that has already happened). 
281,Cold shoulder,Cold shoulder,1. 
282,Tongue in cheek,(with) tongue in cheek,"Humorous or intended as a joke, though seeming or appearing to be serious. Hyphenated as ""tongue-in-cheek"" if used before a noun. "
283,When there’s a will there’s a way,,
284,No harm no foul,"No harm, no foul","If there was no bad outcome to an action, then there's no need to be angry or upset about it. "
285,Cut the chord,,
286,Hit the hay,Hit the hay,To get into bed and go to sleep. 
287,Live by the sword die by the sword,"Live by the sword, die by the sword",1. Those who live a violent lifestyle will usually die a violent death. 
288,Knocking boots,Knock boots (with one), To have sex (with one). 
289,Bumping uglies,Bump uglies, To have sex. 
290,Get your ears lowered,Get (one's) ears lowered,"To get a haircut, especially to a length that reveals one's ears. "
291,Dragging your feet,Drag (one's) feet,"1. Literally, to not completely pick up one's feet when walking, so that they drag with each step. "
292,With your tail between your legs,With (one's) tail between (one's) legs,"Displaying embarrassment or shame, especially after losing or having to admit that one was wrong. Likened to a dog literally putting its tail between its legs after being disciplined. "
293,Spic and span,Spick and span,Totally clean and/or organized. 
294,Roll in the hay,Roll in the hay,"A sexual encounter, often one considered casual. "
295,Run the gamut,Run the gamut,To cover or extend across a wide and varied range. 
296,If it was a snake it would of bit you,,
297,If looks could kill,If looks could kill,"An expression used when someone makes an angry or unpleasant face at someone, indicating that such an expression represents hostility. "
298,Staring daggers,,
299,No skin off my back,Be no skin off (one's) back,"To be no cause of concern or interest to one; to pose one no difficulty, threat, or risk. "
300,Carrot on a stick,Carrot on a stick,"A reward that is promised to someone as an incentive to complete some task. It is a variant of ""carrot and stick"" or ""carrot or stick,"" which refer to both reward and punishment being simultaneously offered/threatened as an incentive to complete a task. "
301,Comparison is the thief of joy,,
302,Robbing the cradle,Rob the cradle,To date someone who is much younger than oneself. 
303,Going the way of the buffalo,,
304,Shell of your former self,A shell of (someone's or something's) former self,"A person, group, place, etc., that has become dramatically less healthy, vivacious, or robust, often following some traumatic event or negative circumstances. "
305,The call is coming from inside the house,,
306,Coming out swinging,Come out swinging,To compete or defend someone or something passionately or aggressively. 
307,Rose colored glasses,Rose-colored glasses,"An unduly idealistic, optimistic, sentimental, or wistful perspective on or about something. Primarily heard in US. "
